2012-07-03T07:33:20-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 96697953, ServiceId 249, CustomerId 1341311600, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:33:20-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 96697953, ServiceId 249, CustomerId 1341311600, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:35:57-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 84961323, ServiceId 29, CustomerId 1341311756, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:35:57-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 84961323, ServiceId 29, CustomerId 1341311756, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:47:17-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 20304465, ServiceId 12, CustomerId 1341312436, Nachricht: O pagamento à vista foi aceito 
2012-07-03T07:47:17-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 20304465, ServiceId 12, CustomerId 1341312436, Nachricht: A transferência imediata foi recusada, porque o sistema foi desativado  
2012-07-03T07:47:17-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 20304465, ServiceId 12, CustomerId 1341312436, Nachricht: Paypalbezahlung zugestimmt 
2012-07-03T07:47:17-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 20304465, ServiceId 12, CustomerId 1341312436, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:47:17-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 20304465, ServiceId 12, CustomerId 1341312436, Nachricht: O pagamento à vista foi aceito 
2012-07-03T07:47:17-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 20304465, ServiceId 12, CustomerId 1341312436, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:47:52-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 56809576, ServiceId 12, CustomerId 1341312472, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T07:47:52-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 79078476, ServiceId 12, CustomerId 1341312472, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T08:49:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 51469235, ServiceId 12, CustomerId 1341316140, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T08:49:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 12136060, ServiceId 12, CustomerId 1341316140, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T08:49:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 40350746, ServiceId 12, CustomerId 1341316164, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T08:49:24-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 70780137, ServiceId 12, CustomerId 1341316164, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T09:22:58-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 99322386, ServiceId 12, CustomerId 1341318178, Nachricht: O pagamento com cartão de crédito foi aceito 
2012-07-03T09:22:59-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving janamesa.com.br.testing PaymentHelper: OrderNr 02380814, ServiceId 12, CustomerId 1341318179, Nachricht: O pagamento com cartão de crédito foi aceito 
