2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:03:45+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 41530085, ServiceId 13062, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:04:03+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44397447, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:03+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44397447, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:03+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44397447, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:03+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44397447, ServiceId 13062, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:04:03+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44397447, ServiceId 13062, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:04:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 22847625, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 22847625, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 22847625, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 22847625, ServiceId 13062, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:04:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 22847625, ServiceId 13062, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:04:33+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 37419478, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:33+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 37419478, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:33+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 37419478, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:33+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 37419478, ServiceId 13062, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:04:33+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 37419478, ServiceId 13062, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:04:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 52367560, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 52367560, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:04:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 52367560, ServiceId 13062, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
