2012-08-20T11:01:44-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 30607421, ServiceId 13470, CustomerId 258467, Nachricht: Barzahlung abgelehnt, weil Restaurant keine Barzahlung akzeptiert 
2012-08-20T11:01:44-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 30607421, ServiceId 13470, CustomerId 258467, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T11:01:44-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 30607421, ServiceId 13470, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:01:44-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 30607421, ServiceId 13470, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:01:44-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 30607421, ServiceId 13470, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:01:44-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 30607421, ServiceId 13470, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:08:02-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 99340428, ServiceId 1507, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:08:23-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 26806313, ServiceId 1507, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:09:40-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 75281990, ServiceId 13608, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:10:11-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 84016953, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:10:11-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 84016953, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:10:11-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 84016953, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:10:11-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 84016953, ServiceId 13608, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:10:11-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 84016953, ServiceId 13608, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:10:23-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 63707718, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00381837, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00381837, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00381837, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00381837, ServiceId 13608, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:14:00-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00381837, ServiceId 13608, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:14:13-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 10601888, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:39-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 58707938, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:39-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 58707938, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:39-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 58707938, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:14:39-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 58707938, ServiceId 13608, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:14:39-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 58707938, ServiceId 13608, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:14:56-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 73429599, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:19:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00314949, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
