Land;Stadt;Anzahl;KW
AT;Wien;252;33
AT;Purkersdorf;16;33
AT;Langenzersdorf;13;33
AT;Graz;12;33
AT;Linz;10;33
AT;Klagenfurt;8;33
AT;Seiersberg;8;33
AT;Salzburg;7;33
AT;Windorf;7;33
AT;Guntramsdorf;7;33
AT;Wiener Neudorf;7;33
AT;Neupirka;7;33
AT;Pirka;7;33
AT;Biedermannsdorf;6;33
AT;Mantscha;6;33
AT;Mühlriegl;6;33
AT;Laxenburg;6;33
AT;Brunn am Gebirge;6;33
AT;Riederhof;6;33
AT;Hautzendorf;6;33
AT;Raaba;6;33
AT;Feldkirchen bei Graz;5;33
AT;Mödling;5;33
AT;Schwechat;5;33
AT;Baden;5;33
AT;Forst;5;33
AT;Leonding;5;33
AT;Grambach;5;33
AT;Maria Enzersdorf;5;33
AT;Traiskirchen;4;33
AT;Hart bei Graz;4;33
AT;Berg;4;33
AT;Kainbach;4;33
AT;Eggendorf;4;33
AT;Steinberg;4;33
AT;Oberberg;4;33
AT;Pfaffstätten;4;33
AT;Wagnitz;4;33
AT;Hinterbrühl;4;33
AT;Lamberg;4;33
AT;Gumpoldskirchen;4;33
AT;Hart;4;33
AT;Wagersbach;4;33
AT;St. Pölten;4;33
AT;Abtissendorf;4;33
AT;Angern;4;33
AT;Schaftal;4;33
AT;Edelsbach bei Graz;4;33
AT;Thal;4;33
AT;Gießhübl;4;33
AT;Perchtoldsdorf;4;33
AT;Hönigtal;4;33
AT;Thondorf;4;33
AT;Lebern;4;33
AT;Neuwindorf;4;33
AT;Dürwagersbach;4;33
AT;Gaumberg;3;33
AT;Hochgreit;3;33
AT;Haag;3;33
AT;Haselgraben;3;33
AT;Neulichtenberg;3;33
AT;Asberg;3;33
AT;Doppl;3;33
AT;Spratzern;3;33
AT;Weinitzen;3;33
AT;Krumpendorf;3;33
AT;Felling;3;33
AT;Leber;3;33
AT;Plesching;3;33
AT;Kinderdorf Sankt Isidor;3;33
AT;Buchberg;3;33
AT;Ursprung;3;33
AT;Innsbruck;3;33
AT;Mühl;3;33
AT;Neudorf;3;33
AT;Aichberg;3;33
AT;Siegenfeld;3;33
AT;Enzenwinkl;3;33
AT;Hohenberg;3;33
AT;Mühlberg;3;33
AT;Oberschöckl;3;33
AT;Alharting;3;33
AT;Sooß;3;33
AT;Holzheim;3;33
AT;Oberbairing;3;33
AT;Altlichtenberg;3;33
AT;Steingraben;3;33
AT;Großamberg;3;33
AT;Kammerschlag;3;33
AT;Purgstall bei Eggersdorf;3;33
AT;Hub;3;33
AT;Rabnitz;3;33
AT;Buch;3;33
AT;Ebenthal;3;33
AT;Fölling;3;33
AT;Kitzelsbach;3;33
AT;Krail;3;33
AT;Pöstlingberg;3;33
AT;Staudach;3;33
AT;Traun;3;33
AT;Untergaumberg;3;33
AT;Jetzing;3;33
AT;Krems an der Donau;3;33
AT;Niederschöckl;3;33
AT;Pasching;3;33
AT;Rannach;3;33
AT;Bergham;3;33
AT;Hollenburg;3;33
AT;Kalkleiten;3;33
AT;Hagenbrunn;3;33
AT;Reith;3;33
AT;Eichberg;3;33
AT;Katzgraben;3;33
AT;Imberg;3;33
AT;Niederdorf;3;33
AT;Sankt Veit;3;33
AT;Stratzdorf;2;33
AT;Gundersdorf;2;33
AT;Neudörfl;2;33
AT;Aigen;2;33
AT;Rothenhof;2;33
AT;Scheibenhof;2;33
AT;Etsdorf am Kamp;2;33
AT;Teufelhof;2;33
AT;Klein-Wien;2;33
AT;Rufling;2;33
AT;Schlickendorf;2;33
AT;Thallern;2;33
AT;Tribuswinkel;2;33
AT;Gobelsburg;2;33
AT;Vösendorf;2;33
AT;Hafing;2;33
AT;Willersdorf;2;33
AT;Kaltenleutgeben;2;33
AT;Klosterneuburg;2;33
AT;Breitenfurt bei Wien;2;33
AT;Schwadorf;2;33
AT;Theresienfeld;2;33
AT;Hörsching;2;33
AT;Zöbing;2;33
AT;Korneuburg;2;33
AT;Neuweidling;2;33
AT;Brunn im Felde;2;33
AT;Dürnstein;2;33
AT;Einöde;2;33
AT;Tulbing;2;33
AT;Walddorf;2;33
AT;Imbach;2;33
AT;Oberloiben;2;33
AT;Poppichl;2;33
AT;Stattersdorf;2;33
AT;Engabrunn;2;33
AT;Hochbuchedt;2;33
AT;Palt;2;33
AT;Rossatz;2;33
AT;Diendorf am Kamp;2;33
AT;Stein an der Donau;2;33
AT;Gerasdorf;2;33
AT;Wiener Neustadt;2;33
AT;Mauerbach;2;33
AT;Paudorf;2;33
AT;Berndorf;2;33
AT;Schiltern;2;33
AT;Egelsee;2;33
AT;Farchern;2;33
AT;Gneixendorf;2;33
AT;Hadersdorf am Kamp;2;33
AT;Zeiselberg;2;33
AT;Oberwaltersdorf;2;33
AT;Rehberg;2;33
AT;Furth bei Göttweig;2;33
AT;Trumau;2;33
AT;Weißenkirchen in der Wachau;2;33
AT;Hörfarth;2;33
AT;Mittelberg;2;33
AT;Nadelbach;2;33
AT;Neustift an der Donau;2;33
AT;Oberzwischenbrunn;2;33
AT;Amras;2;33
AT;Droß;2;33
AT;Stift Göttweig;2;33
AT;Unterwagram;2;33
AT;Waitzendorf;2;33
AT;Wels;2;33
AT;Witzendorf;2;33
AT;Bad Vöslau;2;33
AT;Höbenbach;2;33
AT;Wöllersdorf;2;33
AT;Landersdorf;2;33
AT;Seyring;2;33
AT;Stratzing;2;33
AT;Gedersdorf;2;33
AT;Viehofen;2;33
AT;Kledering;2;33
AT;Langenlois;2;33
AT;Lerchenfeld;2;33
AT;Steinaweg;2;33
AT;Friesenegg;2;33
AT;Unterloiben;2;33
AT;Völtendorf;2;33
AT;Meidling;2;33
AT;Oberwagram;2;33
AT;Ratzersdorf an der Traisen;2;33
AT;Bisamberg;2;33
AT;Theiß;2;33
AT;Groß-Enzersdorf;2;33
AT;Kammern;2;33
AT;Krustetten;2;33
AT;Oberfucha;2;33
AT;Pummersdorf;2;33
AT;Möllersdorf;2;33
AT;Bad Fischau;2;33
AT;Brunnkirchen;2;33
AT;Tiefenfucha;2;33
AT;Gottesbichl;2;33
AT;Unterzwischenbrunn;2;33
AT;Walkersdorf am Kamp;2;33
AT;Lengenfeld;2;33
AT;Portendorf;2;33
AT;Rohrendorf;2;33
AT;Senftenberg;2;33
AT;Straß im Straßertale;2;33
AT;Frauenhofen;1;33
AT;Ufer;1;33
AT;Gramastetten;1;33
